content,score,sentimen,content_clean
Eror. Makasih,1,0,eror makasih
Setiap mau klik analisis produk selalu aplikasinya terhenti,2,0,klik analisis produk aplikasinya terhenti
Kurang membantu sih apk nya karna ku coba analisis terus hasilnya tu beda beda padahal maslah kulitnya sama aja tapi tetep aja hasilnya gak sama.,2,0,membantu sih apk nya karna ku coba analisis hasilnya tu beda beda maslah kulitnya aja tetep aja hasilnya gak
Sulit detect wajah,1,0,sulit detect wajah
👍,3,0,
"Gimana si kok rekomendasi produknya ga ada padahal aku btuh banget, tulisanya segera hadir trus,emang belom hadir ya apa gmana tolong bantuanya",2,0,gimana si rekomendasi produknya ga btuh banget tulisanya hadir trus emang belom hadir gmana bantuanya
"Lumayan bagus sih, tapi tingkat in lagi yaaa, jujur gw suka! Thnks Troveskin!",3,0,lumayan bagus sih tingkat in yaaa jujur gw suka thnks troveskin
menurut saya aplikasinya kurang memuaskan...gak seperti yg saya inginkan...tapi udah lumayan sih gak ada iklannya,3,0,aplikasinya memuaskan gak yg udah lumayan sih gak iklannya
Saya suka app ini sangat membantu,3,0,suka app membantu
Gimana ini engga bisa log in! Gagal terus,1,0,gimana engga log in gagal
karena baru download jadi kasih 3 dulu deh 😂,3,0,download kasih deh
Kok sekarang gak bisa liat manfaat produknya yah,2,0,gak liat manfaat produknya yah
Maksd dari izin aplikasi tapi harus menonaktifkan aplikasi anda itu apa ya?,1,0,maksd izin aplikasi menonaktifkan aplikasi
Tiba2 keluar sendiri terus -_-,1,0,
"baru nyoba, semoga aj bermanfaat",3,0,nyoba semoga aj bermanfaat
plikasi TAI BOONG.. DI BUKA GA BISA.. TAI TAI TAI .. JANGAN DI DOWNLOAD.. NYESELL!!!!!!,1,0,plikasi tai boong buka ga tai tai tai download nyesell
Sekarang sering bgt ya di update dah gitu pas reedem hadiah dah g ky dulu lg tambah ribet skrg,3,0,bgt update dah gitu pas reedem hadiah dah g ky lg ribet skrg
aplikasi yg bagus,3,0,aplikasi yg bagus
Cukup bgs,3,0,bgs
Engga bisa upload foto 😭,3,0,engga upload foto
kenapa harus izin lokasi ?,3,0,izin lokasi
Kasih bintang 3 dulu kalau bagus baru bintang 5,3,0,kasih bintang bagus bintang
Ini keren,3,0,keren
"Ko gk bsa pake kamera blakang ,pdhal sbnrnya ak suka app ini, tp kamera depanku kurang bagus jd hasilnya gak maksimal, minta pembaruan dong biar bisa pake kamera blakang",3,0,ko gk bsa pake kamera blakang pdhal sbnrnya ak suka app tp kamera depanku bagus jd hasilnya gak maksimal pembaruan biar pake kamera blakang
"Biasa aja, analisis produknya ga bs diikuti semua, beda total sm skincare 
alami yg aku pake",3,0,aja analisis produknya ga bs diikuti beda total sm skincare alami yg pake
"kok, kameranya nggk bisa ya? ktnya ada yg slh sma pengaturan. itu gmna cranya dong spya bisa",1,0,kameranya nggk ktnya yg slh sma pengaturan gmna cranya spya
Kok katanya internet sy tidak terkoneksi,2,0,internet sy terkoneksi
Foto yg sudah d ambil tdk bisa dhapus. Sudah saya coba masuk laporan saya pilih dan pilih delete tp ttep tdak mau hilang.,1,0,foto yg d ambil tdk dhapus coba masuk laporan pilih pilih delete tp ttep tdak hilang
"Saya baru download tpi tidak bisa log in, cara nya gmn ya biar bisa log in?",2,0,download tpi log in nya gmn biar log in
Kok gk bisa masuk,1,0,gk masuk
👍🏻👍🏻👍🏻,3,0,
Aplikasi tak berjalan.,1,0,aplikasi berjalan
"Gimana sih aplikasinya?! Baru aja istri saya mau nyoba, kok malah 400bad 
request pas analisis? Perbaikin dong!",1,0,gimana sih aplikasinya aja istri nyoba bad request pas analisis perbaikin
baru mencoba,3,0,mencoba
"Udah log in tapi gk bs masuk"", entah itu dri fb maupun email. Gmn ini?",3,0,udah log in gk bs masuk dri fb email gmn
👍,3,0,
Bagus sihh Tapi sayang hadiah nya lagi kosong,3,0,bagus sihh sayang hadiah nya kosong
"Aplikasinya tidak bisa dipakai. Tulisannya ""Uh-oh! Kami tidak bisa mengupload fotomu"" Gituu terus.. Bukan karena sinyal karena saya masih bisa buka IG, masih bisa buka Google meet, zoom, Shopee dll.",1,0,aplikasinya dipakai tulisannya uh mengupload fotomu gituu sinyal buka ig buka google meet zoom shopee
"Bohong banget ini aplikasi,trus eror lagi pdhal jaringn lancar",1,0,bohong banget aplikasi trus eror pdhal jaringn lancar
good aps,3,0,good aps
kok aku gak bisa login fb ya terus memuat terus balik ke halaman login,3,0,gak login fb memuat halaman login
Satu dulu klau bgus nnti d.tbhin starnya,1,0,klau bgus nnti d tbhin starnya
Ribet,1,0,ribet
Sedikit membantu saya untuk tetap menjaga kulit,3,0,membantu menjaga kulit
"aplikasi ini bagus, jadi kya mantau kondisi kulit kita. aplikasi ini kya nentuin tipe apa kulit kita ini sebenernya terus langsung di deteksi",3,0,aplikasi bagus kya mantau kondisi kulit aplikasi kya nentuin tipe kulit sebenernya langsung deteksi
semoga semakin banyak kuis dan point perkuis ditambah hehe,3,0,semoga kuis point perkuis ditambah hehe
"Boong!!! ga bisa dipake alesan tersambung ke internet, ngabisin quota w aja lo kam*r*t",1,0,boong ga dipake alesan tersambung internet ngabisin quota w aja lo kam r t
so far so good,3,0,so far so good
baru mau coba hehe,3,0,coba hehe
"Saya mau up load foto nya terus aja ada kesalahan jaringan, padahal jaringannya 4g. Perbaiki lagi aplikasinya kalo kaya gini kecewa sekali",1,0,up load foto nya aja kesalahan jaringan jaringannya g perbaiki aplikasinya kalo kaya gini kecewa
Kenapa ndak bisa login,2,0,ndak login
Sip,3,0,sip
Its great :),3,0,its great
Ush ga ada hadiahnya,2,0,ush ga hadiahnya
"Ngabisin kuota, ga bisa di instalasi cuma bisa di download",1,0,ngabisin kuota ga instalasi download
"Maaf aku ubah ratingnya, setelah diperbarui jadi ribet/ bingung dan berbayar.",1,0,maaf ubah ratingnya diperbarui ribet bingung berbayar
"Tidak bisa di akses pas masuknya nih, selalu muncul pemberitahuan berhenti.",3,0,akses pas masuknya nih muncul pemberitahuan berhenti
Apakah benar bisa di tukar hadiah nya?ada yg udh nyoba?,2,0,tukar hadiah nya yg udh nyoba
"Menurut saya lumayan baik untuk menilai jenis kulit saya, tetapi belum ada saran perawatan lengkap untuk memperbaiki kualitas kulit saya",3,0,lumayan menilai jenis kulit saran perawatan lengkap memperbaiki kualitas kulit
"Bagus appnya, tpi untuk menghapus foto sebelumnya gmna yaa, ko gk bsa",3,0,bagus appnya tpi menghapus foto gmna yaa ko gk bsa
sangat bermanfaat!,3,0,bermanfaat
"Ini gimana kok gk bisa menganalisa sih? Fotonya gk bisa diunggah pasti muncul tulisan kami tidak dapat mengunggah foto kamu dan ada tulisan mengalami kesalahan pada saat foto diunggah, gitu2 aja dari kemarin2 😑 trus gimana dong sama aja gk bisa dipakek, tolong diperbaiki dong biar bisa dipakek, internet juga lancar kok saya pakek youtube, instagram dll lancar ini masalahnya pasti di aplikasinya 🙄",2,0,gimana gk menganalisa sih fotonya gk diunggah muncul tulisan mengunggah foto tulisan mengalami kesalahan foto diunggah gitu aja kemarin trus gimana aja gk dipakek diperbaiki biar dipakek internet lancar pakek youtube instagram lancar aplikasinya
👌,3,0,
APLIKASINYA GA JELAS!!,1,0,aplikasinya ga
cukup bagus,3,0,bagus
cukup bagus menurutku,3,0,bagus menurutku
Appnya bagus tapi ga bisa upload foto wajah kita.,3,0,appnya bagus ga upload foto wajah
sukaaa bangettt sama aplikasi ini,3,0,sukaaa bangettt aplikasi
bagus lumayan cuman kadang error,3,0,bagus lumayan cuman kadang error
Sialan... Ujung ujung nya jualan produk..,1,0,sialan ujung ujung nya jualan produk
Jelek bat setelah di update,1,0,jelek bat update
aplikasi ini baguss BANGETTT!!😭 ak jdi tau tipe kulit ak dan skincare yg cocok buat kulit ak terutama dengan permasalahan kulit aku. luvvv trove skinn!💖,3,0,aplikasi baguss bangettt ak jdi tau tipe kulit ak skincare yg cocok kulit ak permasalahan kulit luvvv trove skinn
"Analisa kulit lumayan, rekomendasi produk agak kurang signifikan menurutku, dan spesifikasi produk kurang lengkap. Tapi keseluruhan sih bagus, hanya kurang diperbaiki sedikit lagi. Thanks.",3,0,analisa kulit lumayan rekomendasi produk signifikan menurutku spesifikasi produk lengkap sih bagus diperbaiki thanks
Bantu saya log in dong ...,1,0,bantu log in
Kasih 3 bintang dulu ya,3,0,kasih bintang
"Aaya masih bingung dari usia wajah yang d tampilkan.karena selalu berubah 
ubah",3,0,aaya bingung usia wajah d tampilkan berubah ubah
Saya mau download kok gk bisa si,1,0,download gk si
gk bisa buat foto,1,0,gk foto
Kq gak bisa dibuka sih. Terjadi kesalahan terus gitu aja tiap mw masuk,2,0,kq gak dibuka sih kesalahan gitu aja mw masuk
banyak informasi yang baik,3,0,informasi
"Knp si ko baru jg instal, dibuka, trs keluar sendiri. Kayak gak suport gt",1,0,knp si ko jg instal dibuka trs kayak gak suport gt
Sangat bagus,3,0,bagus
lebih ditingkatkan lagi aplikasinya,3,0,ditingkatkan aplikasinya
Nyesel downloadnya. Foto nya tidak bisa terbaca dan harus ulang-ulang😬,1,0,nyesel downloadnya foto nya terbaca ulang ulang
aplikasi yang baik tetapi sering terjadi error mungkin bisa lebih ditingkatkan lagi,3,0,aplikasi error ditingkatkan
Setidaknya sedikit demi sedikit saya mengetahui skincare yang cocok untuk kulit saya.,3,0,skincare cocok kulit
"Bagus sih apps nya, tapi kok hadiah di akun saya gapernah ada ya? saya gabisa tuker point jadinya",3,0,bagus sih apps nya hadiah akun gapernah gabisa tuker point
satu dulu iya,1,0,iya
masih mencoba,3,0,mencoba
Kok error mulu yah ? Pas baru instal dan nyoba pertama aja tuh yg bagus. Pas nyoba yg berikutnya udah error -__-,2,0,error mulu yah pas instal nyoba aja tuh yg bagus pas nyoba yg udah error
"coba dulu ya, kamera terkesan sedikit ada efek penghalus",3,0,coba kamera terkesan efek penghalus
"Baru install, sementara bintang 3 dulu",3,0,install bintang
Aplikasi yang cukup efektif,3,0,aplikasi efektif
3 dulu nanti kalo bener² bermanfaat tambah lagi bintangnya 😀👍🏻,3,0,kalo bener bermanfaat bintangnya
Nice,3,0,nice
Time out error mulu 👎,1,0,time out error mulu
Baru nyoba. kasih rate 3 dulu yaa,3,0,nyoba kasih rate yaa
Good,3,0,good
Makruh,3,0,makruh
Tiap mau analisis kulit setelah foto muka server error mulu disuruh try later mulu udah nyoba beberapa kali g bisa2,2,0,analisis kulit foto muka server error mulu disuruh try later mulu udah nyoba kali g
Gimana sih kok gk bisa masuk pakai facebook kan aku butuh aplikasi ini,2,0,gimana sih gk masuk pakai facebook butuh aplikasi
Gk efektif,3,0,gk efektif
👍👍,3,0,
lumayan,3,0,lumayan
di cob dulu,3,0,cob
gud,3,0,gud
baru pertama kali coba. aplikasi yg cukup bagus.,3,0,kali coba aplikasi yg bagus
G Guna,1,0,g
sangat membantu sekali dalam memilih skincare yang cocok untuk kulit,3,0,membantu memilih skincare cocok kulit
Diperbaiki dulu kalau sudah bisa baru di keluarkan..  Aplikasi belum bisa digunakan gitu kok dikeluarkan😠😡,1,0,diperbaiki keluarkan aplikasi gitu dikeluarkan
ok,3,0,
2 dulu ya soalnya coba² dulu ntar kalo bagus nanti 5 okk,2,0,coba ntar kalo bagus okk
Baru nyoba,3,0,nyoba
Aplikasi terhenti saat sedang menganalisa foto kulit padahal sdh di-update dan di-install ulang tp tetap sama,1,0,aplikasi terhenti menganalisa foto kulit sdh update install ulang tp
"Lebih suka yg versi dlu, yg dlu lebih lengkap drpada versi skrg, yang dlu ada rekomendasi skincare untuk kita, skrg gak ad :(",2,0,suka yg versi dlu yg dlu lengkap drpada versi skrg dlu rekomendasi skincare skrg gak ad
"tolong dengan amat sangat, diperbaiki lagi upload fotonya.",2,0,diperbaiki upload fotonya
"Kecewa banget sama apknya, padahal jelas-jelas wajahku itu lagi breakout parah jerawat ada dimana"",flek hitam,bahkan pori-pori ku besar tapi kenapa dipenilainnya wajahku itu baik"" aja bahkan luar biasa.",2,0,kecewa banget apknya wajahku breakout parah jerawat flek hitam pori pori ku dipenilainnya wajahku aja
Baru mau nyoba apk ini😅😅😅,3,0,nyoba apk
Bagus Bagus,3,0,bagus bagus
Bener kah dijamin kalo mengikuti test ini  terus dikasih saran perwatan (??),3,0,bener dijamin kalo mengikuti test dikasih saran perwatan
suka sama apknya,3,0,suka apknya
cuma gitu² aja.bosennn,1,0,gitu aja bosennn
"Dear Troveskin,mau tanya kenapa dibagian jurnal kulit fotonya malah wajah orang lain 😂😂😂 ? Jadi foto"" analisis kulit wajah saya pada kemana ??",3,0,dear troveskin dibagian jurnal kulit fotonya wajah orang foto analisis kulit wajah
keren deh,3,0,keren deh
SEKARANG SUKA EROR GITU KOK,3,0,suka eror gitu
Lumayan dahh buat iseng iseng hehe,3,0,lumayan dahh iseng iseng hehe
Aplikasi ini jelek habis di download tidak bisa di buka,1,0,aplikasi jelek habis download buka
Foto tidak bisa dihapus... payah...,2,0,foto dihapus payah
"Kenapa gak bisa di buat Selfi,kan ketentuan nya harus selfie dulu gimana sih",1,0,gak selfi ketentuan nya selfie gimana sih
Gak bisa login 😁 habisin kuota,1,0,gak login habisin kuota
Baru donlot nnt diulas lagi,3,0,donlot nnt diulas
aku beri 3bintang karena aku baru coba aplikasi ini jika benaeran cocok hasil nya suatu saat aku beri 5 bintang lanjut supaya lebih baik,3,0,bintang coba aplikasi benaeran cocok hasil nya bintang
Mayan lah,3,0,mayan
Sudah menunggu lama lama tapu Aplikasinya selalu timeout. Analisa wajah selalu gagal.,1,0,menunggu tapu aplikasinya timeout analisa wajah gagal
"kasih bintang satu dulu, soalnya baru download",3,0,kasih bintang download
👍👍👍👍,3,0,
"baru coba,nanti kalau udah terbukti baru lasih review yg benar",3,0,coba udah terbukti lasih review yg
Ya memuaskan,3,0,memuaskan
Gak bisa menganalisa sama skali. Udah dicoba berkali2 ditungguin lama banget hasil nya error terus. 😧,1,0,gak menganalisa skali udah dicoba berkali ditungguin banget hasil nya error
bagus,3,0,bagus
Lumayan membantu walaupun saya belum faham,2,0,lumayan membantu faham
"Kasih 3 bintang dlu yah, baru mau coba 😁",3,0,kasih bintang dlu yah coba
"Gaya ny doang analisa,ujung2 ny erorr.",1,0,gaya ny doang analisa ujung ny erorr
Tingkatkan lagi.,3,0,tingkatkan
untuk artikel nya semuanya bahasa inggris.. saya tidak mengerti.. apakah disini ada yang tau bgmn cara translit bahasanya?,1,0,artikel nya bahasa inggris mengerti tau bgmn translit bahasanya
Gak bisa masuk terus,1,0,gak masuk
Saya bolak balik log in lewat facebook tapi gak bisa masuk*. Nyesel download app ini buang* kuota,1,0,bolak log in facebook gak masuk nyesel download app buang kuota
Tiga dlu ya nanti klo uda di coba tambah lg,3,0,dlu klo uda coba lg
Ko gamau sih hadiah nya,3,0,ko gamau sih hadiah nya
"Sekarang kok jarang update hadiah, katanya setiap hari rabu ada update hadiah, tp kok malah hadiah masih kosong trs, padahal udh dipantengin. Udah nyari2 point buat ditukerin hadiah, eh malah hadiahnya ga update trs :( ayo dong update hadiahnya",3,0,jarang update hadiah rabu update hadiah tp hadiah kosong trs udh dipantengin udah nyari point ditukerin hadiah eh hadiahnya ga update trs ayo update hadiahnya
lumayan lah untuk tau kondisi kulit,1,0,lumayan tau kondisi kulit
Kulik kurang terdeteksi Dengan aplikasi ini,3,0,kulik terdeteksi aplikasi
Ga tau lagi iseng nyoba masih belum paham produk mana yang direkomenin huhu,2,0,ga tau iseng nyoba paham produk direkomenin huhu
Terkadang tidak selalu sinkron dengan kulit wajah,3,0,terkadang sinkron kulit wajah
Lumayan,2,0,lumayan
Masih mencoba sihh,2,0,mencoba sihh
"Saat saya mau mencoba untuk ke kamera tidak bisa terjadi kesalahan terus 
padahal sudah sayang coba berkali"", tolong infonya terima kasih",2,0,mencoba kamera kesalahan sayang coba berkali infonya terima kasih
sip,3,0,sip
baru mulai nyoba 🙂,3,0,nyoba
gak terlalu paham gunanya apa,3,0,gak paham gunanya
"Bagus banget sih apknya, tapi kadang ngawur juga",3,0,bagus banget sih apknya kadang ngawur
"3dulu. saya mau nanya kalok dipakek buat cowok bisa ngk, kalok bisa aku kasih bintang lebih",3,0,nanya kalok dipakek cowok ngk kalok kasih bintang
Tergantung kamera depan hahah:v,1,0,tergantung kamera hahah v
Belum paham dengan istilah2 yg Ada setelah Analisa...,2,0,paham istilah yg analisa
"Sementara 3 dulu, nanti kalo bagus ditambahin lagi",3,0,kalo bagus ditambahin
Masih mencoba semoga bagus,3,0,mencoba semoga bagus
"Menurut aku,app nya bermanfaat banget,mulai ngasih tau masalah kulit kita apa,saran produk untuk masalah kulit kita ap,nentuin jenis kulit kita apa dan banyak lagi,tapi karna aku baru download aku ngasih 3 bintang dulu yaa. Klo udh ada ngaruh produk2 yg disaranin sama aku oleh app nya ntr aku aku kasih 5 bintang. Heheh😁",3,0,app nya bermanfaat banget ngasih tau kulit saran produk kulit ap nentuin jenis kulit karna download ngasih bintang yaa klo udh ngaruh produk yg disaranin app nya ntr kasih bintang heheh
Lumayan..,3,0,lumayan
Sngat bagus untuk mengetahui keadaan kulit wajah,3,0,sngat bagus kulit wajah
skin carenya gak update,3,0,skin carenya gak update
Klo apk gk bgus mnding jgb publish dlu dh kesel gw nunggu lama lama mlh timeout,1,0,klo apk gk bgus mnding jgb publish dlu dh kesel gw nunggu mlh timeout
Suka keluar sendiri pas mau buka produk yg di sarankan,1,0,suka pas buka produk yg sarankan
App model ap sih ini...  Udah login lbih dari 10 x gx bisa masuk👎👎🐕,1,0,app model ap sih udah login lbih x gx masuk
"Emm,setiap aku ambil gambar pasti keluar dr aplikasi nya kek mana ini??",3,0,emm ambil gambar dr aplikasi nya kek
Saya baru mencoba aplikasi ini,3,0,mencoba aplikasi
Nggak bisa detect terus padahal cahaya udah bagus 👎,1,0,detect cahaya udah bagus
"Aplikasinya udah diinstal mau masuk ehh malah keluar sendiri begitu terus sampe sekarang, gak guna sama sekali udah di hapus instal download lagi berkali kali sama aja gak ngaruh apa2",1,0,aplikasinya udah diinstal masuk ehh sampe gak udah hapus instal download berkali kali aja gak ngaruh
Mau log in pake fb gak bs..  Ini knp?,1,0,log in pake fb gak bs knp
Aplikasinya gak bagus.. Masa kameranya gak bisa deteksi wajah trus.. Gelap mulu kameranya.. Terus di suruhlah atur pencahayaan karna katanya terlalu gelap padahal kondisi saya lagi di luar ruangan.. Huu,1,0,aplikasinya gak bagus kameranya gak deteksi wajah trus gelap mulu kameranya suruhlah atur pencahayaan karna gelap kondisi ruangan huu
Kok loading analisanya lama sekali? :(,3,0,loading analisanya
lumayan sih. masih baru coba. bagus buat identifikasi jenis kulit wajah. tapi karna baru coba nanti kiat kedepannya lagi,3,0,lumayan sih coba bagus identifikasi jenis kulit wajah karna coba kiat kedepannya
gak berguna...ntah apa2,1,0,gak berguna ntah
Koq berubah yah setelah diupdate dulu bisa scan wajah skrg g bisa ...kenapa jadi app buat note hari ini stress atau tidak,2,0,koq berubah yah diupdate scan wajah skrg g app note stress
coba dulu klo oke ya diperbaharui nilainya,3,0,coba klo oke diperbaharui nilainya
"Cukup bagus tapi 3 dulu, soalnya baru pakai beberapa hari, jadi belum tahu kelebihan dan kekurangan nya lebih lanjut!",3,0,bagus pakai kelebihan kekurangan nya
Gak ngerti makenya,3,0,gak ngerti makenya
"umurnya ga sesuai, terus bnykkin produk lokal dong",3,0,umurnya ga sesuai bnykkin produk lokal
Kenapa error terus ya ?,1,0,error
"Suka dengan tampilan aplikasinya, di design dengan sangat baik. Sayangnya 
ketika saya mencoba aplikasi ini pertama kali katanya error tidak dapat 
menganalisis fotonya. Segera perbaiki ya",3,0,suka tampilan aplikasinya design sayangnya mencoba aplikasi kali error menganalisis fotonya perbaiki
good,3,0,good
Mau masuk akun ko ga bisa bisa yah??,3,0,masuk akun ko ga yah
Udh di coba berulangkali kok GK bisa . Kembali terus ah app apaan nih kurang baik,1,0,udh coba berulangkali gk ah app nih
lumayan,3,0,lumayan
Bagus. Rekomend app nya,1,0,bagus rekomend app nya
Suka,3,0,suka
Suka sama apk ini,3,0,suka apk
Pas cek kulit error dianalisisnya,3,0,pas cek kulit error dianalisisnya
apaan bocah balita umur 3 tahun kok jadi 39 tahun tak logis,2,0,bocah balita umur logis
Aplikasi pas masuk error...perbaiki segera,2,0,aplikasi pas masuk error perbaiki
Unquality,2,0,unquality
Susah amat pas selesai selfie pasti eror,1,0,susah pas selesai selfie eror
lemot,3,0,lemot
Bagus,3,0,bagus
Ini aplikasi beneran gaksi?,2,0,aplikasi beneran gaksi
"Aplikasi sesuai diluar expetasi saya kira memang bisa mendeteksi kulit wajah saya padahal kulit wajah saya bekas jrwt banyak kantong mata hitam,.berminyak,. pori""besar cuma di ksi saran buat ngecilin pori""doank ya elaaaa sama aja gak guna kalau hanya buat ngecilin pori""doank abis""kuota aja download nie aplikasi udh lama downloadnya hasilnya luar expetasi dah lah kcwa kalau kyk gini layannanya.",1,0,aplikasi sesuai diluar expetasi mendeteksi kulit wajah kulit wajah bekas jrwt kantong mata hitam berminyak pori ksi saran ngecilin pori doank elaaaa aja gak ngecilin pori doank abis kuota aja download nie aplikasi udh downloadnya hasilnya expetasi dah kcwa kyk gini layannanya
Kadang gak cocok sama yang sedang dialami kulit ku sebenarnya,3,0,kadang gak cocok dialami kulit ku
Sejauh ini lumayan bagus dan belum ada kendala.,3,0,lumayan bagus kendala
Kalo gagal terus kenapa yaa?,1,0,kalo gagal yaa
"Bagaimana mungkin aku disuruh untuk log in beberapa kali untuk dapat masuk ke aplikasi ini? Sungguh merepotkan. Dan lagi, setelah mengabil fotoku dan menunggu berapa saat tidak menujukkan hasil analisis, lalu aku harus foto lagi untuk mengulang prosesnya. Ini menyebalkan... Tolong di perbaiki",2,0,disuruh log in kali masuk aplikasi sungguh merepotkan mengabil fotoku menunggu menujukkan hasil analisis foto mengulang prosesnya menyebalkan perbaiki
Aplikasinya menipu... masa analisa wajah saya 36 th sama persis dg analisa wajah anak saya yg 8 th. Udah diulang ulang hasilnya tetap sama.. Produk yg direkomendasikan jg sama. Tujuannya agar produknya laku dipasaran kali ya..,1,0,aplikasinya menipu analisa wajah th persis dg analisa wajah anak yg th udah diulang ulang hasilnya produk yg direkomendasikan jg tujuannya produknya laku dipasaran kali
"ini selain buat wajah gak ada buat style penampilan gitu? bikin dong 🙏 kalau wajahkan sudah ada rekomendasinya nah sekarang buat style, jadi aku itu cocok pakai pakaian apa ya begitu begitulah sama kayak wajah, tapi ini versi style kayaknya seru. Apalagi aku orangnya buruk dalam berpenampilan jadi pengen minta rekomendasinya gitu sama kalian,atau kalian buat aplikasi baru yg begini👍👍👍 ini aja sudah bagus gimana yg lain coba😁",3,0,wajah gak style penampilan gitu bikin wajahkan rekomendasinya style cocok pakai pakaian kayak wajah versi style kayaknya seru orangnya buruk berpenampilan pengen rekomendasinya gitu aplikasi yg aja bagus gimana yg coba
Foto selalu gagal terdeteksi,1,0,foto gagal terdeteksi
Susah log on,2,0,susah log on
Kok udah 99 % kok jadi balik 1% persen ? Kalo bagus aku tambahi 1 bintang ^~^,3,0,udah persen kalo bagus tambahi bintang
coba dluh,2,0,coba dluh
baru download ntar kalo sesuai harapan ditambah lagi,3,0,download ntar kalo sesuai harapan ditambah
Cukup membantu,3,0,membantu
"kadang hasil dari test berbeda, padahal saya lakukan diwaktu yg sama, maaf.",3,0,kadang hasil test berbeda lakukan diwaktu yg maaf
Coba dulu semoga worth it,3,0,coba semoga worth it
mencoba2 lihat dlu... klo memang bisa membantu lihat perkembangan kulit ku dgn terperinci dan benar nanti ku tambah nilai lg,3,0,mencoba lihat dlu klo membantu lihat perkembangan kulit ku dgn terperinci ku nilai lg
Masa aplikasi ini gabisa moto gajelas banget nyesel udah download,1,0,aplikasi gabisa moto gajelas banget nyesel udah download
cb dlu y,3,0,cb dlu y
"Aku kasih bintang 3 dulu, nanti kalo cocok sama hasil rekomendasi aku bakal balik lagiii",3,0,kasih bintang kalo cocok hasil rekomendasi lagiii
quite nice,3,0,quite nice
baru download,3,0,download
Sangat jelek,1,0,jelek
